Flat_type,Storey_range,Floor_area_sqm,Remaining_months,Resale_price
4 ROOM,10 TO 12,116,871,648000
4 ROOM,07 TO 09,104,871,568000
4 ROOM,07 TO 09,103,871,600000
4 ROOM,04 TO 06,114,871,550000
4 ROOM,04 TO 06,106,871,535000
4 ROOM,04 TO 06,103,868,550000
4 ROOM,07 TO 09,112,871,614000
4 ROOM,01 TO 03,105,870,568000
4 ROOM,04 TO 06,103,871,530000
4 ROOM,13 TO 15,102,871,610000
4 ROOM,16 TO 18,102,870,630000
4 ROOM,04 TO 06,103,871,548000
4 ROOM,04 TO 06,104,871,548000
4 ROOM,07 TO 09,104,871,625000
4 ROOM,31 TO 33,95,1100,820000
4 ROOM,28 TO 30,95,1099,818000
5 ROOM,07 TO 09,121,811,660000
5 ROOM,07 TO 09,122,815,718000
5 ROOM,19 TO 21,123,941,820000
5 ROOM,19 TO 21,123,941,700000
5 ROOM,04 TO 06,121,783,800000
EXECUTIVE,10 TO 12,146,805,950000
EXECUTIVE,01 TO 03,146,871,770000
EXECUTIVE,07 TO 09,151,871,780000
EXECUTIVE,10 TO 12,148,868,930000
3 ROOM,01 TO 03,70,790,359000
3 ROOM,04 TO 06,67,782,403000
3 ROOM,10 TO 12,67,778,435000
3 ROOM,04 TO 06,67,778,408000
3 ROOM,07 TO 09,65,644,260000
4 ROOM,07 TO 09,84,793,460000
4 ROOM,01 TO 03,109,822,450000
4 ROOM,10 TO 12,84,791,550000
4 ROOM,07 TO 09,84,791,503000
4 ROOM,10 TO 12,105,792,582000
4 ROOM,13 TO 15,105,792,598888
4 ROOM,01 TO 03,84,791,438000
4 ROOM,01 TO 03,84,808,415000
4 ROOM,10 TO 12,103,870,553000
4 ROOM,22 TO 24,102,869,643000
4 ROOM,01 TO 03,107,870,535000
4 ROOM,04 TO 06,105,842,550000
4 ROOM,04 TO 06,95,777,500000
4 ROOM,10 TO 12,89,806,512000
5 ROOM,07 TO 09,123,822,660000
5 ROOM,19 TO 21,128,817,800000
5 ROOM,04 TO 06,131,813,720000
5 ROOM,10 TO 12,121,941,788000
5 ROOM,01 TO 03,120,1099,840000
5 ROOM,07 TO 09,120,1099,968000
5 ROOM,10 TO 12,123,841,750000
EXECUTIVE,01 TO 03,144,808,780000
EXECUTIVE,10 TO 12,147,785,1028000
3 ROOM,01 TO 03,64,803,370000
3 ROOM,07 TO 09,64,791,390000
3 ROOM,01 TO 03,64,791,380000
3 ROOM,01 TO 03,64,789,350000
3 ROOM,04 TO 06,64,797,375000
4 ROOM,01 TO 03,84,809,365000
4 ROOM,04 TO 06,84,826,405000
4 ROOM,07 TO 09,84,789,465000
4 ROOM,01 TO 03,84,809,339000
4 ROOM,01 TO 03,84,792,400000
4 ROOM,07 TO 09,84,791,488000
4 ROOM,01 TO 03,104,789,545000
4 ROOM,07 TO 09,105,790,638000
4 ROOM,04 TO 06,83,807,445000
4 ROOM,04 TO 06,83,813,483000
4 ROOM,10 TO 12,102,870,598000
4 ROOM,01 TO 03,112,869,500000
4 ROOM,04 TO 06,108,869,570000
4 ROOM,01 TO 03,105,869,460000
4 ROOM,25 TO 27,102,869,638000
4 ROOM,01 TO 03,113,865,572500
4 ROOM,01 TO 03,95,1098,715000
4 ROOM,01 TO 03,95,1098,745000
4 ROOM,10 TO 12,108,869,635000
4 ROOM,13 TO 15,107,869,600000
4 ROOM,04 TO 06,104,868,515000
4 ROOM,04 TO 06,103,839,573000
5 ROOM,01 TO 03,121,809,660000
5 ROOM,04 TO 06,121,800,668000
5 ROOM,01 TO 03,121,811,580000
5 ROOM,01 TO 03,121,803,620000
5 ROOM,01 TO 03,121,809,675000
5 ROOM,07 TO 09,121,939,690000
5 ROOM,13 TO 15,120,1098,996000
5 ROOM,04 TO 06,120,1097,920000
5 ROOM,10 TO 12,120,795,632000
EXECUTIVE,04 TO 06,146,809,920000
EXECUTIVE,19 TO 21,163,805,1145000
3 ROOM,01 TO 03,64,817,375000
3 ROOM,13 TO 15,64,797,363000
3 ROOM,07 TO 09,64,805,366000
4 ROOM,01 TO 03,113,833,550000
4 ROOM,04 TO 06,83,807,465000
4 ROOM,04 TO 06,84,789,545000
4 ROOM,10 TO 12,84,788,506000
4 ROOM,04 TO 06,83,813,465000
4 ROOM,07 TO 09,105,868,600000
4 ROOM,04 TO 06,103,864,590000
4 ROOM,13 TO 15,108,868,660000
4 ROOM,37 TO 39,95,1096,878000
4 ROOM,04 TO 06,109,840,550000
4 ROOM,13 TO 15,99,780,560000
4 ROOM,01 TO 03,105,837,500000
5 ROOM,04 TO 06,123,820,660000
5 ROOM,07 TO 09,121,802,678000
5 ROOM,07 TO 09,121,807,777000
5 ROOM,07 TO 09,123,820,655000
5 ROOM,04 TO 06,121,801,710000
5 ROOM,01 TO 03,121,807,680000
5 ROOM,19 TO 21,121,819,758888
5 ROOM,34 TO 36,120,1097,1056000
5 ROOM,28 TO 30,123,938,888000
5 ROOM,10 TO 12,123,938,665000
5 ROOM,19 TO 21,120,789,698888
EXECUTIVE,01 TO 03,144,814,770000
EXECUTIVE,19 TO 21,163,799,1008000
EXECUTIVE,04 TO 06,147,867,710000
EXECUTIVE,10 TO 12,146,868,863000
EXECUTIVE,10 TO 12,146,863,925000
EXECUTIVE,01 TO 03,150,784,965000
3 ROOM,01 TO 03,64,792,360000
3 ROOM,10 TO 12,64,812,378888
4 ROOM,04 TO 06,102,800,510000
4 ROOM,13 TO 15,103,832,720000
4 ROOM,10 TO 12,84,788,521000
4 ROOM,04 TO 06,104,781,590000
4 ROOM,04 TO 06,84,821,388000
4 ROOM,01 TO 03,112,867,590000
4 ROOM,04 TO 06,105,863,500000
4 ROOM,04 TO 06,103,864,550000
4 ROOM,04 TO 06,102,867,570000
4 ROOM,01 TO 03,105,834,450000
4 ROOM,01 TO 03,108,836,540000
5 ROOM,22 TO 24,121,807,833000
5 ROOM,04 TO 06,121,806,675000
5 ROOM,16 TO 18,121,805,678000
5 ROOM,01 TO 03,123,819,630000
5 ROOM,04 TO 06,121,812,638000
5 ROOM,13 TO 15,121,800,785000
5 ROOM,04 TO 06,126,818,690000
5 ROOM,01 TO 03,130,809,685000
5 ROOM,07 TO 09,132,867,780000
5 ROOM,13 TO 15,123,937,815000
5 ROOM,28 TO 30,120,1096,1080000
5 ROOM,10 TO 12,125,776,718000
5 ROOM,22 TO 24,125,837,760000
5 ROOM,07 TO 09,122,834,690000
5 ROOM,07 TO 09,120,837,700000
3 ROOM,01 TO 03,64,786,390000
3 ROOM,01 TO 03,64,816,405000
3 ROOM,07 TO 09,64,814,415000
3 ROOM,07 TO 09,64,814,395000
3 ROOM,07 TO 09,65,640,246000
4 ROOM,07 TO 09,84,799,470000
4 ROOM,01 TO 03,104,787,608000
4 ROOM,01 TO 03,84,819,390000
4 ROOM,01 TO 03,88,807,370000
4 ROOM,07 TO 09,84,810,460000
4 ROOM,04 TO 06,84,810,475000
4 ROOM,01 TO 03,104,866,515888
4 ROOM,01 TO 03,105,866,448000
4 ROOM,07 TO 09,103,863,620000
4 ROOM,07 TO 09,113,866,653000
4 ROOM,07 TO 09,102,866,595000
4 ROOM,04 TO 06,105,862,475000
4 ROOM,04 TO 06,112,866,550000
4 ROOM,04 TO 06,89,795,500000
5 ROOM,10 TO 12,121,806,748000
5 ROOM,07 TO 09,121,808,638000
5 ROOM,01 TO 03,120,807,715000
5 ROOM,01 TO 03,121,807,630000
5 ROOM,13 TO 15,121,817,742000
5 ROOM,10 TO 12,121,802,782000
5 ROOM,07 TO 09,121,808,765000
5 ROOM,07 TO 09,121,865,858000
5 ROOM,10 TO 12,134,866,710000
5 ROOM,13 TO 15,120,1095,860000
5 ROOM,31 TO 33,120,1094,1000000
5 ROOM,01 TO 03,120,836,635000
EXECUTIVE,04 TO 06,151,797,830000
EXECUTIVE,01 TO 03,146,797,850000
EXECUTIVE,01 TO 03,148,863,840000
EXECUTIVE,10 TO 12,146,866,885000
EXECUTIVE,13 TO 15,155,836,950000
MULTI-GENERATION,07 TO 09,147,812,840000
3 ROOM,07 TO 09,64,813,405000
3 ROOM,04 TO 06,64,813,375000
3 ROOM,01 TO 03,67,772,390000
3 ROOM,13 TO 15,67,776,450000
3 ROOM,10 TO 12,64,793,382000
3 ROOM,10 TO 12,65,639,266000
4 ROOM,04 TO 06,113,832,769000
4 ROOM,07 TO 09,84,779,505000
4 ROOM,07 TO 09,104,786,628000
4 ROOM,01 TO 03,84,784,475000
4 ROOM,04 TO 06,103,809,505000
4 ROOM,04 TO 06,90,811,550888
4 ROOM,04 TO 06,105,863,568000
4 ROOM,16 TO 18,102,863,650000
4 ROOM,07 TO 09,108,864,635000
4 ROOM,19 TO 21,100,935,610000
4 ROOM,01 TO 03,102,863,462000
