Flat_type,Storey_range,Floor_area_sqm,Remaining_months,Resale_price
5 ROOM,04 TO 06,132,857,775000
5 ROOM,07 TO 09,128,856,860000
5 ROOM,19 TO 21,120,1086,1082000
5 ROOM,04 TO 06,120,1085,825000
5 ROOM,19 TO 21,123,927,740000
5 ROOM,10 TO 12,120,828,645000
5 ROOM,10 TO 12,120,825,600000
5 ROOM,04 TO 06,120,778,652000
EXECUTIVE,01 TO 03,149,853,805000
3 ROOM,10 TO 12,64,785,380000
4 ROOM,10 TO 12,103,856,595000
4 ROOM,07 TO 09,103,856,520000
4 ROOM,10 TO 12,95,1085,808000
5 ROOM,13 TO 15,121,810,670000
5 ROOM,07 TO 09,121,794,770000
EXECUTIVE,10 TO 12,146,797,925000
4 ROOM,07 TO 09,84,800,425000
4 ROOM,04 TO 06,104,856,555000
3 ROOM,01 TO 03,70,788,363000
3 ROOM,07 TO 09,64,777,412800
3 ROOM,10 TO 12,67,630,216000
3 ROOM,10 TO 12,65,629,250000
4 ROOM,01 TO 03,103,808,468000
4 ROOM,04 TO 06,103,809,457000
4 ROOM,04 TO 06,104,808,507000
4 ROOM,07 TO 09,84,794,475000
4 ROOM,04 TO 06,103,798,550000
4 ROOM,07 TO 09,84,799,480000
4 ROOM,01 TO 03,102,926,575000
4 ROOM,04 TO 06,104,856,568000
4 ROOM,10 TO 12,104,855,575000
4 ROOM,13 TO 15,116,855,635000
4 ROOM,07 TO 09,105,851,590000
4 ROOM,04 TO 06,107,852,510000
4 ROOM,19 TO 21,102,855,638000
4 ROOM,01 TO 03,107,851,475000
4 ROOM,04 TO 06,104,856,555000
4 ROOM,04 TO 06,107,856,510000
4 ROOM,07 TO 09,95,1085,815000
4 ROOM,13 TO 15,108,855,692888
4 ROOM,34 TO 36,95,1083,910000
4 ROOM,04 TO 06,110,828,507000
4 ROOM,01 TO 03,100,762,567500
4 ROOM,04 TO 06,105,827,555000
4 ROOM,07 TO 09,89,783,535000
4 ROOM,07 TO 09,84,792,473000
5 ROOM,10 TO 12,121,788,723000
5 ROOM,01 TO 03,122,800,590000
5 ROOM,10 TO 12,121,796,833800
5 ROOM,07 TO 09,121,807,678000
5 ROOM,19 TO 21,120,1084,1070000
5 ROOM,07 TO 09,120,1084,970000
5 ROOM,16 TO 18,120,824,700000
5 ROOM,13 TO 15,120,776,690000
EXECUTIVE,04 TO 06,146,796,930000
EXECUTIVE,04 TO 06,141,852,870000
EXECUTIVE,07 TO 09,148,854,740000
EXECUTIVE,01 TO 03,146,854,825000
EXECUTIVE,04 TO 06,146,854,820000
EXECUTIVE,04 TO 06,146,852,975000
EXECUTIVE,19 TO 21,149,856,880000
3 ROOM,04 TO 06,64,771,330000
3 ROOM,01 TO 03,76,762,400000
3 ROOM,01 TO 03,64,781,330000
3 ROOM,07 TO 09,68,627,295000
3 ROOM,10 TO 12,65,627,264500
4 ROOM,04 TO 06,103,821,680000
4 ROOM,10 TO 12,103,819,610000
4 ROOM,07 TO 09,84,786,465000
4 ROOM,07 TO 09,83,791,485000
4 ROOM,07 TO 09,83,794,475000
4 ROOM,10 TO 12,83,795,550000
4 ROOM,10 TO 12,86,787,530000
4 ROOM,01 TO 03,107,853,518000
4 ROOM,04 TO 06,104,851,520000
5 ROOM,04 TO 06,122,787,630000
5 ROOM,07 TO 09,130,806,688000
5 ROOM,07 TO 09,121,792,688000
5 ROOM,01 TO 03,121,807,650000
5 ROOM,04 TO 06,123,786,852000
5 ROOM,04 TO 06,131,806,780000
5 ROOM,04 TO 06,127,799,730000
5 ROOM,04 TO 06,121,786,550000
5 ROOM,01 TO 03,132,852,875000
5 ROOM,28 TO 30,120,1083,1060000
5 ROOM,13 TO 15,120,1083,1050000
5 ROOM,07 TO 09,120,824,600000
EXECUTIVE,10 TO 12,143,791,930000
EXECUTIVE,22 TO 24,150,787,1080000
3 ROOM,01 TO 03,64,777,365000
3 ROOM,07 TO 09,68,626,260000
4 ROOM,04 TO 06,84,773,470000
4 ROOM,04 TO 06,89,771,530000
4 ROOM,04 TO 06,83,797,520000
4 ROOM,04 TO 06,90,798,575300
4 ROOM,07 TO 09,84,796,418000
4 ROOM,04 TO 06,88,796,430000
4 ROOM,01 TO 03,105,852,520000
4 ROOM,10 TO 12,103,852,565000
4 ROOM,01 TO 03,105,849,480000
4 ROOM,04 TO 06,103,852,570000
4 ROOM,04 TO 06,112,852,610000
4 ROOM,01 TO 03,100,758,558000
4 ROOM,01 TO 03,105,822,506000
5 ROOM,10 TO 12,121,790,773000
5 ROOM,13 TO 15,121,792,836800
5 ROOM,19 TO 21,121,797,760000
5 ROOM,04 TO 06,121,805,635888
5 ROOM,10 TO 12,123,923,752000
5 ROOM,01 TO 03,132,852,750000
5 ROOM,07 TO 09,121,922,780000
5 ROOM,04 TO 06,120,1081,840000
5 ROOM,01 TO 03,120,1079,830000
5 ROOM,22 TO 24,120,1080,1080000
5 ROOM,16 TO 18,125,823,735000
EXECUTIVE,01 TO 03,144,802,810000
EXECUTIVE,07 TO 09,143,852,922500
EXECUTIVE,01 TO 03,149,852,760000
EXECUTIVE,07 TO 09,146,852,888000
EXECUTIVE,04 TO 06,146,849,828000
EXECUTIVE,10 TO 12,186,823,958000
EXECUTIVE,01 TO 03,155,771,845000
3 ROOM,07 TO 09,64,773,415000
3 ROOM,01 TO 03,64,797,400000
3 ROOM,01 TO 03,73,761,395000
3 ROOM,10 TO 12,68,625,238000
3 ROOM,04 TO 06,65,625,256000
4 ROOM,07 TO 09,84,794,445000
4 ROOM,01 TO 03,84,770,475000
4 ROOM,04 TO 06,83,783,488000
4 ROOM,07 TO 09,84,773,499000
4 ROOM,01 TO 03,104,794,470000
4 ROOM,07 TO 09,112,851,560000
4 ROOM,10 TO 12,104,851,573000
4 ROOM,04 TO 06,106,848,565000
4 ROOM,04 TO 06,103,851,570000
4 ROOM,07 TO 09,103,848,572000
4 ROOM,04 TO 06,105,851,538000
4 ROOM,16 TO 18,108,851,610000
4 ROOM,01 TO 03,95,1080,670000
4 ROOM,04 TO 06,103,852,565000
4 ROOM,04 TO 06,102,921,563000
4 ROOM,01 TO 03,101,921,450000
4 ROOM,07 TO 09,104,851,560000
4 ROOM,01 TO 03,101,851,435000
4 ROOM,04 TO 06,109,823,545000
4 ROOM,04 TO 06,92,766,528000
4 ROOM,07 TO 09,105,821,538000
4 ROOM,01 TO 03,105,823,532000
4 ROOM,04 TO 06,88,635,355000
5 ROOM,07 TO 09,121,790,670000
5 ROOM,04 TO 06,119,803,600000
5 ROOM,01 TO 03,121,783,630000
5 ROOM,04 TO 06,121,789,650000
5 ROOM,16 TO 18,121,785,850000
5 ROOM,07 TO 09,121,804,708000
5 ROOM,07 TO 09,121,790,780000
5 ROOM,04 TO 06,121,788,750000
5 ROOM,07 TO 09,121,851,785000
5 ROOM,13 TO 15,123,921,790000
5 ROOM,10 TO 12,135,848,780000
5 ROOM,25 TO 27,123,922,838000
5 ROOM,13 TO 15,120,1080,965000
5 ROOM,10 TO 12,121,921,750000
EXECUTIVE,13 TO 15,154,851,1044888
EXECUTIVE,01 TO 03,148,851,728000
EXECUTIVE,01 TO 03,141,847,880000
EXECUTIVE,10 TO 12,187,821,980000
3 ROOM,01 TO 03,64,784,385000
3 ROOM,01 TO 03,64,796,390000
3 ROOM,01 TO 03,67,758,380000
3 ROOM,04 TO 06,67,757,377000
3 ROOM,04 TO 06,64,779,371000
3 ROOM,10 TO 12,65,625,268000
3 ROOM,04 TO 06,65,625,250000
3 ROOM,10 TO 12,67,624,280000
4 ROOM,04 TO 06,84,785,430000
4 ROOM,10 TO 12,105,772,638000
4 ROOM,04 TO 06,84,772,370000
4 ROOM,01 TO 03,83,792,420000
4 ROOM,01 TO 03,83,789,470000
4 ROOM,07 TO 09,83,794,465000
4 ROOM,16 TO 18,108,851,681000
4 ROOM,22 TO 24,106,850,688000
4 ROOM,01 TO 03,108,850,475000
4 ROOM,13 TO 15,105,850,585000
4 ROOM,01 TO 03,104,850,490000
4 ROOM,01 TO 03,103,847,560000
4 ROOM,07 TO 09,105,850,638000
4 ROOM,28 TO 30,95,1079,840000
4 ROOM,01 TO 03,108,850,495000
4 ROOM,28 TO 30,95,1079,860000
4 ROOM,25 TO 27,95,1079,883000
4 ROOM,07 TO 09,92,764,580000
4 ROOM,04 TO 06,89,786,500000
4 ROOM,07 TO 09,105,819,580000
5 ROOM,07 TO 09,122,785,640000
5 ROOM,07 TO 09,122,792,625000
5 ROOM,10 TO 12,122,803,696800
5 ROOM,13 TO 15,121,785,760000
5 ROOM,04 TO 06,122,802,718000
5 ROOM,19 TO 21,121,783,768000
5 ROOM,04 TO 06,121,783,720000
5 ROOM,04 TO 06,128,802,680000
5 ROOM,22 TO 24,121,781,760000
5 ROOM,19 TO 21,131,804,745000
5 ROOM,07 TO 09,121,791,690000
5 ROOM,01 TO 03,120,790,680000
5 ROOM,28 TO 30,120,1079,1208000
5 ROOM,07 TO 09,121,921,725000
5 ROOM,19 TO 21,120,771,750000
5 ROOM,04 TO 06,120,820,648000
EXECUTIVE,19 TO 21,163,786,1128000
EXECUTIVE,10 TO 12,148,850,868000
EXECUTIVE,07 TO 09,147,850,900000
EXECUTIVE,01 TO 03,146,850,888888
EXECUTIVE,04 TO 06,146,850,868000
EXECUTIVE,07 TO 09,146,766,990000
MULTI-GENERATION,04 TO 06,160,790,940000
3 ROOM,01 TO 03,64,807,298000
3 ROOM,01 TO 03,64,771,369000
3 ROOM,01 TO 03,64,770,335000
3 ROOM,01 TO 03,63,784,365000
3 ROOM,07 TO 09,64,794,400000
3 ROOM,01 TO 03,67,760,370000
3 ROOM,10 TO 12,68,624,275000
3 ROOM,07 TO 09,65,624,265000
4 ROOM,07 TO 09,84,790,450000
4 ROOM,10 TO 12,84,771,545000
4 ROOM,04 TO 06,84,772,458000
4 ROOM,07 TO 09,105,772,525000
4 ROOM,07 TO 09,84,771,458000
4 ROOM,10 TO 12,84,772,485000
4 ROOM,01 TO 03,84,802,418000
4 ROOM,04 TO 06,105,770,600000
4 ROOM,04 TO 06,103,802,582000
4 ROOM,07 TO 09,103,802,515000
4 ROOM,10 TO 12,84,769,508888
4 ROOM,04 TO 06,105,772,490000
4 ROOM,07 TO 09,104,770,640000
4 ROOM,10 TO 12,84,770,530000
4 ROOM,07 TO 09,84,769,508000
4 ROOM,01 TO 03,84,771,453000
4 ROOM,01 TO 03,103,803,488800
4 ROOM,07 TO 09,84,803,410000
4 ROOM,04 TO 06,83,784,537000
4 ROOM,07 TO 09,104,850,520000
4 ROOM,04 TO 06,117,850,660000
4 ROOM,07 TO 09,106,850,512000
4 ROOM,01 TO 03,108,849,468000
4 ROOM,07 TO 09,103,849,592888
4 ROOM,01 TO 03,115,845,582000
4 ROOM,07 TO 09,104,849,588000
4 ROOM,04 TO 06,103,849,517400
4 ROOM,04 TO 06,97,761,550000
5 ROOM,04 TO 06,122,790,645000
5 ROOM,07 TO 09,121,784,735000
5 ROOM,04 TO 06,121,783,690000
5 ROOM,04 TO 06,121,788,662888
5 ROOM,01 TO 03,121,788,633000
5 ROOM,04 TO 06,121,792,660000
5 ROOM,10 TO 12,121,783,780000
5 ROOM,01 TO 03,121,794,620000
5 ROOM,07 TO 09,127,796,650000
5 ROOM,04 TO 06,121,792,627000
5 ROOM,07 TO 09,119,792,705000
5 ROOM,01 TO 03,121,850,733888
5 ROOM,04 TO 06,133,850,765000
5 ROOM,04 TO 06,139,846,715000
5 ROOM,04 TO 06,134,849,680000
5 ROOM,31 TO 33,120,1078,950000
5 ROOM,10 TO 12,123,920,805000
5 ROOM,13 TO 15,123,919,800000
5 ROOM,01 TO 03,121,764,678000
5 ROOM,01 TO 03,120,819,635000
EXECUTIVE,01 TO 03,143,781,780000
EXECUTIVE,19 TO 21,150,786,1028000
EXECUTIVE,01 TO 03,151,849,820000
EXECUTIVE,07 TO 09,150,847,950000
3 ROOM,01 TO 03,64,769,328000
3 ROOM,04 TO 06,64,794,393000
3 ROOM,07 TO 09,67,757,468000
3 ROOM,04 TO 06,67,758,410000
3 ROOM,10 TO 12,64,777,390000
3 ROOM,10 TO 12,68,623,263000
3 ROOM,07 TO 09,65,622,265000
3 ROOM,07 TO 09,65,622,275000
4 ROOM,10 TO 12,84,770,520000
4 ROOM,04 TO 06,84,788,450000
4 ROOM,01 TO 03,104,801,480000
4 ROOM,01 TO 03,105,772,500000
4 ROOM,01 TO 03,89,767,500000
4 ROOM,10 TO 12,84,787,499998
4 ROOM,04 TO 06,84,772,485000
4 ROOM,10 TO 12,84,770,516000
4 ROOM,10 TO 12,84,767,492000
4 ROOM,01 TO 03,90,795,530000
4 ROOM,04 TO 06,84,802,445000
4 ROOM,07 TO 09,84,793,438000
4 ROOM,04 TO 06,84,801,440000
4 ROOM,01 TO 03,107,849,548000
4 ROOM,07 TO 09,105,846,590000
4 ROOM,01 TO 03,112,849,520000
4 ROOM,01 TO 03,105,848,525000
4 ROOM,04 TO 06,103,848,578000
4 ROOM,04 TO 06,104,848,525000
4 ROOM,07 TO 09,105,848,580000
4 ROOM,04 TO 06,104,845,570000
4 ROOM,07 TO 09,109,845,570000
4 ROOM,10 TO 12,106,849,650000
4 ROOM,07 TO 09,104,848,570000
4 ROOM,19 TO 21,103,848,652000
4 ROOM,04 TO 06,102,918,560000
4 ROOM,01 TO 03,102,918,515000
4 ROOM,10 TO 12,103,819,570000
4 ROOM,01 TO 03,105,820,540000
5 ROOM,04 TO 06,122,782,660000
5 ROOM,07 TO 09,123,801,698000
5 ROOM,10 TO 12,121,787,723000
5 ROOM,04 TO 06,121,787,670000
5 ROOM,07 TO 09,122,792,655000
5 ROOM,07 TO 09,119,800,678500
5 ROOM,07 TO 09,130,800,780000
5 ROOM,07 TO 09,121,786,820000
5 ROOM,13 TO 15,131,792,763888
5 ROOM,13 TO 15,131,794,780000
5 ROOM,01 TO 03,130,790,608000
5 ROOM,13 TO 15,131,800,758000
5 ROOM,01 TO 03,120,788,625000
5 ROOM,07 TO 09,121,787,790000
5 ROOM,04 TO 06,121,845,840000
5 ROOM,07 TO 09,121,848,880800
5 ROOM,04 TO 06,127,845,810000
5 ROOM,34 TO 36,120,1077,1180000
5 ROOM,37 TO 39,120,1077,1075000
5 ROOM,25 TO 27,120,1077,1218888
5 ROOM,13 TO 15,120,818,715000
5 ROOM,10 TO 12,121,763,730000
5 ROOM,10 TO 12,125,819,700000
EXECUTIVE,10 TO 12,151,780,908000
EXECUTIVE,22 TO 24,150,781,980000
EXECUTIVE,01 TO 03,146,780,850000
EXECUTIVE,01 TO 03,149,789,825000
EXECUTIVE,01 TO 03,146,789,905000
EXECUTIVE,19 TO 21,150,782,1058000
EXECUTIVE,04 TO 06,146,788,908888
EXECUTIVE,07 TO 09,147,849,860000
EXECUTIVE,04 TO 06,147,849,860000
EXECUTIVE,04 TO 06,146,845,910000
EXECUTIVE,01 TO 03,149,845,880000
